IMPLdtl00041;IMPL-0009;#RIF!;BRC025PRXB01001;/;BRC025PRH00000;/;FP;BRC0025PRXB01001;#N/D
IMPLdtl00042;IMPL-0010;#RIF!;CRC167LMXA03001;/;CRC167LMXA02002;/;SC;CRC0167LMXA03001;0
IMPLdtl00043;IMPL-0010;#RIF!;CRC167LMXA03002;/;CRC167LMXA02002;/;SC;CRC0167LMXA03002;GABBIA B
IMPLdtl00044;IMPL-0010;#RIF!;CRC167LMXA03003;/;CRC167LMXA02003;/;SC;CRC0167LMXA03003;
IMPLdtl00045;IMPL-0010;#RIF!;CRC167LMXA03004;/;CRC167LMXA02003;/;SC;CRC0167LMXA03004;0
IMPLdtl00046;IMPL-0010;#RIF!;CRC167LMXA03005;/;CRC167LMXA02004;/;SC;CRC0167LMXA03005;
IMPLdtl00047;IMPL-0010;#RIF!;CRC167LMXA03006;/;CRC167LMXA02004;/;SC;CRC0167LMXA03006;GABBIA B
IMPLdtl00048;IMPL-0010;#RIF!;CRC167LMXA03007;/;CRC167LMXA02002;/;SC;CRC0167LMXA03007;#N/D
IMPLdtl00049;IMPL-0010;#RIF!;CRC167LMXA03008;/;CRC167LMXA02002;/;SC;CRC0167LMXA03008;#N/D
IMPLdtl00050;IMPL-0010;#RIF!;CRC167LMXA03009;/;CRC167LMXA02003;/;SC;CRC0167LMXA03009;#N/D
IMPLdtl00051;IMPL-0010;#RIF!;CRC167LMXA03010;/;CRC167LMXA02003;/;SC;CRC0167LMXA03010;#N/D
IMPLdtl00052;IMPL-0010;#RIF!;CRC167LMXA03011;/;CRC167LMXA02004;/;SC;CRC0167LMXA03011;#N/D
IMPLdtl00053;IMPL-0010;#RIF!;CRC167LMXA03012;/;CRC167LMXA02004;/;SC;CRC0167LMXA03012;#N/D
IMPLdtl00054;IMPL-0011;#RIF!;BRC026PRXB01001;/;BRC026PRH00000;/;FP;BRC0026PRXB01001;#N/D
IMPLdtl00055;IMPL-0012;#RIF!;CRC166LMXA03001;/;CRC166LMXA02002;/;SC;CRC0166LMXA03001;#N/D
IMPLdtl00056;IMPL-0012;#RIF!;CRC166LMXA03002;/;CRC166LMXA02002;/;SC;CRC0166LMXA03002; GABBIA A
IMPLdtl00057;IMPL-0012;#RIF!;CRC166LMXA03003;/;CRC166LMXA02003;/;SC;CRC0166LMXA03003;
IMPLdtl00058;IMPL-0012;#RIF!;CRC166LMXA03004;/;CRC166LMXA02003;/;SC;CRC0166LMXA03004;
IMPLdtl00059;IMPL-0012;#RIF!;CRC166LMXA03005;/;CRC166LMXA02004;/;SC;CRC0166LMXA03005;
IMPLdtl00060;IMPL-0012;#RIF!;CRC166LMXA03006;/;CRC166LMXA02004;/;SC;CRC0166LMXA03006; GABBIA A
IMPLdtl00061;IMPL-0012;#RIF!;CRC166LMXA03007;/;CRC166LMXA02002;/;SC;CRC0166LMXA03007;
IMPLdtl00062;IMPL-0012;#RIF!;CRC166LMXA03008;/;CRC166LMXA02002;/;SC;CRC0166LMXA03008;
IMPLdtl00063;IMPL-0012;#RIF!;CRC166LMXA03009;/;CRC166LMXA02003;/;SC;CRC0166LMXA03009;
IMPLdtl00064;IMPL-0012;#RIF!;CRC166LMXA03010;/;CRC166LMXA02003;/;SC;CRC0166LMXA03010;
IMPLdtl00065;IMPL-0012;#RIF!;CRC166LMXA03011;/;CRC166LMXA02004;/;SC;CRC0166LMXA03011;
IMPLdtl00066;IMPL-0012;#RIF!;CRC166LMXA03012;/;CRC166LMXA02004;/;SC;CRC0166LMXA03012;
IMPLdtl00067;IMPL-0013;#RIF!;CRC174LMXB03001;/;CRC174LMXB02002;/;SC;CRC0174LMXB03001;
IMPLdtl00068;IMPL-0013;#RIF!;CRC174LMXB03002;/;CRC174LMXB02002;/;SC;CRC0174LMXB03002;
