TiAliquot0000032;Series-0002;M001 BEZ-AZD (F)RL02;CRC050LMX004003;CRC050LMX004003RL02;CRC050LMX004003TUMRL02;CRC0050LMXF04003TUMRL02;EXPLdtl00141;22;0;0;0;0;0;0;0;0;0;M001 BEZ-AZD (F)RL02;Tumor;RL;RL02;X;EXPLdtl00141;4;0;y;Store002;12;4;29;Boxdtl0133;Store00212429;29Boxdtl0133
TiAliquot0000033;Series-0002;M001 BEZ-AZD (F)SF01;CRC050LMX004003;CRC050LMX004003SF01;CRC050LMX004003TUMSF01;CRC0050LMXF04003TUMSF01;EXPLdtl00141;22;0;0;0;0;0;0;0;0;0;M001 BEZ-AZD (F)SF01;Tumor;SF;SF01;X;EXPLdtl00141;2;0;y;Store002;15;3;C2;Boxdtl0159;Store002153C2;C2Boxdtl0159
TiAliquot0000034;Series-0002;M004 BEZ-AZD (F)FF01;CRC053LMX004003;CRC053LMX004003FF01;CRC053LMX004003TUMFF01;CRC0053LMXF04003TUMFF01;EXPLdtl00142;22;0;0;0;0;0;0;0;0;0;M004 BEZ-AZD (F)FF01;Tumor;FF;FF01;X;EXPLdtl00142;1;0;y;;;;;;;
TiAliquot0000035;Series-0002;M004 BEZ-AZD (F)RL01;CRC053LMX004003;CRC053LMX004003RL01;CRC053LMX004003TUMRL01;CRC0053LMXF04003TUMRL01;EXPLdtl00142;22;0;0;0;0;0;0;0;0;0;M004 BEZ-AZD (F)RL01;Tumor;RL;RL01;X;EXPLdtl00142;4;0;y;Store002;12;4;20;Boxdtl0133;Store00212420;20Boxdtl0133
TiAliquot0000036;Series-0002;M004 BEZ-AZD (F)RL02;CRC053LMX004003;CRC053LMX004003RL02;CRC053LMX004003TUMRL02;CRC0053LMXF04003TUMRL02;EXPLdtl00142;22;0;0;0;0;0;0;0;0;0;M004 BEZ-AZD (F)RL02;Tumor;RL;RL02;X;EXPLdtl00142;4;0;y;Store002;12;4;30;Boxdtl0133;Store00212430;30Boxdtl0133
TiAliquot0000037;Series-0002;M004 BEZ-AZD (F)SF01;CRC053LMX004003;CRC053LMX004003SF01;CRC053LMX004003TUMSF01;CRC0053LMXF04003TUMSF01;EXPLdtl00142;22;0;0;0;0;0;0;0;0;0;M004 BEZ-AZD (F)SF01;Tumor;SF;SF01;X;EXPLdtl00142;2;0;y;Store002;15;3;D9;Boxdtl0159;Store002153D9;D9Boxdtl0159
TiAliquot0000038;Series-0002;M004 BEZ-AZD (F)SF02;CRC053LMX004003;CRC053LMX004003SF02;CRC053LMX004003TUMSF02;CRC0053LMXF04003TUMSF02;EXPLdtl00142;22;0;0;0;0;0;0;0;0;0;M004 BEZ-AZD (F)SF02;Tumor;SF;SF02;X;EXPLdtl00142;2;0;y;Store002;15;3;F1;Boxdtl0159;Store002153F1;F1Boxdtl0159
TiAliquot0000039;Series-0002;M019 BEZ-AZD (F)FF01;CRC062LMX004003;CRC062LMX004003FF01;CRC062LMX004003TUMFF01;CRC0062LMXF04003TUMFF01;EXPLdtl00143;22;0;0;0;0;0;0;0;0;0;M019 BEZ-AZD (F)FF01;Tumor;FF;FF01;X;EXPLdtl00143;1;0;y;;;;;;;
TiAliquot0000040;Series-0002;M019 BEZ-AZD (F)RL01;CRC062LMX004003;CRC062LMX004003RL01;CRC062LMX004003TUMRL01;CRC0062LMXF04003TUMRL01;EXPLdtl00143;22;0;0;0;0;0;0;0;0;0;M019 BEZ-AZD (F)RL01;Tumor;RL;RL01;X;EXPLdtl00143;4;0;y;Store002;12;4;18;Boxdtl0133;Store00212418;18Boxdtl0133
TiAliquot0000041;Series-0002;M019 BEZ-AZD (F)RL02;CRC062LMX004003;CRC062LMX004003RL02;CRC062LMX004003TUMRL02;CRC0062LMXF04003TUMRL02;EXPLdtl00143;22;0;0;0;0;0;0;0;0;0;M019 BEZ-AZD (F)RL02;Tumor;RL;RL02;X;EXPLdtl00143;4;0;y;Store002;12;4;19;Boxdtl0133;Store00212419;19Boxdtl0133
TiAliquot0000042;Series-0002;M019 BEZ-AZD (F)SF01;CRC062LMX004003;CRC062LMX004003SF01;CRC062LMX004003TUMSF01;CRC0062LMXF04003TUMSF01;EXPLdtl00143;22;0;0;0;0;0;0;0;0;0;M019 BEZ-AZD (F)SF01;Tumor;SF;SF01;X;EXPLdtl00143;2;0;y;Store001;15;3;E1;Boxdtl0159;Store001153E1;E1Boxdtl0159
TiAliquot0000043;Series-0002;M121 BEZ-AZD (F)FF01;CRC150LMX004003;CRC150LMX004003FF01;CRC150LMX004003TUMFF01;CRC0150LMXF04003TUMFF01;EXPLdtl00144;22;0;0;0;0;0;0;0;0;0;M121 BEZ-AZD (F)FF01;Tumor;FF;FF01;X;EXPLdtl00144;1;0;y;;;;;;;
TiAliquot0000044;Series-0002;M121 BEZ-AZD (F)RL01;CRC150LMX004003;CRC150LMX004003RL01;CRC150LMX004003TUMRL01;CRC0150LMXF04003TUMRL01;EXPLdtl00144;22;0;0;0;0;0;0;0;0;0;M121 BEZ-AZD (F)RL01;Tumor;RL;RL01;X;EXPLdtl00144;4;0;y;Store002;12;4;8;Boxdtl0133;Store0021248;8Boxdtl0133
TiAliquot0000045;Series-0002;M121 BEZ-AZD (F)RL02;CRC150LMX004003;CRC150LMX004003RL02;CRC150LMX004003TUMRL02;CRC0150LMXF04003TUMRL02;EXPLdtl00144;22;0;0;0;0;0;0;0;0;0;M121 BEZ-AZD (F)RL02;Tumor;RL;RL02;X;EXPLdtl00144;4;0;y;Store002;12;4;17;Boxdtl0133;Store00212417;17Boxdtl0133
TiAliquot0000046;Series-0002;M121 BEZ-AZD (F)SF01;CRC150LMX004003;CRC150LMX004003SF01;CRC150LMX004003TUMSF01;CRC0150LMXF04003TUMSF01;EXPLdtl00144;22;0;0;0;0;0;0;0;0;0;M121 BEZ-AZD (F)SF01;Tumor;SF;SF01;X;EXPLdtl00144;2;0;y;Store002;15;3;C5;Boxdtl0159;Store002153C5;C5Boxdtl0159
TiAliquot0000047;Series-0002;M121 BEZ-AZD (F)SF02;CRC150LMX004003;CRC150LMX004003SF02;CRC150LMX004003TUMSF02;CRC0150LMXF04003TUMSF02;EXPLdtl00144;22;0;0;0;0;0;0;0;0;0;M121 BEZ-AZD (F)SF02;Tumor;SF;SF02;X;EXPLdtl00144;2;0;y;Store002;15;3;D7;Boxdtl0159;Store002153D7;D7Boxdtl0159
TiAliquot0000048;Series-0002;M001 BEZ-VEH (F)FF01;CRC050LMX004004;CRC050LMX004004FF01;CRC050LMX004004TUMFF01;CRC0050LMXF04004TUMFF01;EXPLdtl00145;22;0;0;0;0;0;0;0;0;0;M001 BEZ-VEH (F)FF01;Tumor;FF;FF01;X;EXPLdtl00145;1;0;y;;;;;;;
TiAliquot0000049;Series-0002;M001 BEZ-VEH (F)RL01;CRC050LMX004004;CRC050LMX004004RL01;CRC050LMX004004TUMRL01;CRC0050LMXF04004TUMRL01;EXPLdtl00145;22;0;0;0;0;0;0;0;0;0;M001 BEZ-VEH (F)RL01;Tumor;RL;RL01;X;EXPLdtl00145;4;0;y;Store002;12;4;9;Boxdtl0133;Store0021249;9Boxdtl0133
TiAliquot0000050;Series-0002;M001 BEZ-VEH (F)RL02;CRC050LMX004004;CRC050LMX004004RL02;CRC050LMX004004TUMRL02;CRC0050LMXF04004TUMRL02;EXPLdtl00145;22;0;0;0;0;0;0;0;0;0;M001 BEZ-VEH (F)RL02;Tumor;RL;RL02;X;EXPLdtl00145;4;0;y;Store002;12;4;10;Boxdtl0133;Store00212410;10Boxdtl0133
TiAliquot0000051;Series-0002;M001 BEZ-VEH (F)SF01;CRC050LMX004004;CRC050LMX004004SF01;CRC050LMX004004TUMSF01;CRC0050LMXF04004TUMSF01;EXPLdtl00145;22;0;0;0;0;0;0;0;0;0;M001 BEZ-VEH (F)SF01;Tumor;SF;SF01;X;EXPLdtl00145;2;0;y;Store002;15;3;C1;Boxdtl0159;Store002153C1;C1Boxdtl0159
TiAliquot0000052;Series-0002;M001 BEZ-VEH (F)SF02;CRC050LMX004004;CRC050LMX004004SF02;CRC050LMX004004TUMSF02;CRC0050LMXF04004TUMSF02;EXPLdtl00145;22;0;0;0;0;0;0;0;0;0;M001 BEZ-VEH (F)SF02;Tumor;SF;SF02;X;EXPLdtl00145;2;0;y;Store002;15;3;C7;Boxdtl0159;Store002153C7;C7Boxdtl0159
TiAliquot0000053;Series-0002;M004 BEZ-VEH (F)FF01;CRC053LMX004004;CRC053LMX004004FF01;CRC053LMX004004TUMFF01;CRC0053LMXF04004TUMFF01;EXPLdtl00146;22;0;0;0;0;0;0;0;0;0;M004 BEZ-VEH (F)FF01;Tumor;FF;FF01;X;EXPLdtl00146;1;0;y;;;;;;;
TiAliquot0000054;Series-0002;M004 BEZ-VEH (F)RL01;CRC053LMX004004;CRC053LMX004004RL01;CRC053LMX004004TUMRL01;CRC0053LMXF04004TUMRL01;EXPLdtl00146;22;0;0;0;0;0;0;0;0;0;M004 BEZ-VEH (F)RL01;Tumor;RL;RL01;X;EXPLdtl00146;4;0;y;Store002;12;4;11;Boxdtl0133;Store00212411;11Boxdtl0133
TiAliquot0000055;Series-0002;M004 BEZ-VEH (F)RL02;CRC053LMX004004;CRC053LMX004004RL02;CRC053LMX004004TUMRL02;CRC0053LMXF04004TUMRL02;EXPLdtl00146;22;0;0;0;0;0;0;0;0;0;M004 BEZ-VEH (F)RL02;Tumor;RL;RL02;X;EXPLdtl00146;4;0;y;Store002;12;4;12;Boxdtl0133;Store00212412;12Boxdtl0133
TiAliquot0000056;Series-0002;M004 BEZ-VEH (F)SF01;CRC053LMX004004;CRC053LMX004004SF01;CRC053LMX004004TUMSF01;CRC0053LMXF04004TUMSF01;EXPLdtl00146;22;0;0;0;0;0;0;0;0;0;M004 BEZ-VEH (F)SF01;Tumor;SF;SF01;X;EXPLdtl00146;2;0;y;Store002;15;3;C3;Boxdtl0159;Store002153C3;C3Boxdtl0159
TiAliquot0000057;Series-0002;M004 BEZ-VEH (F)SF02;CRC053LMX004004;CRC053LMX004004SF02;CRC053LMX004004TUMSF02;CRC0053LMXF04004TUMSF02;EXPLdtl00146;22;0;0;0;0;0;0;0;0;0;M004 BEZ-VEH (F)SF02;Tumor;SF;SF02;X;EXPLdtl00146;2;0;y;Store002;15;3;C4;Boxdtl0159;Store002153C4;C4Boxdtl0159
TiAliquot0000058;Series-0002;M019 BEZ-VEH (F)FF01;CRC062LMX004004;CRC062LMX004004FF01;CRC062LMX004004TUMFF01;CRC0062LMXF04004TUMFF01;EXPLdtl00147;22;0;0;0;0;0;0;0;0;0;M019 BEZ-VEH (F)FF01;Tumor;FF;FF01;X;EXPLdtl00147;1;0;y;;;;;;;
TiAliquot0000059;Series-0002;M019 BEZ-VEH (F)RL01;CRC062LMX004004;CRC062LMX004004RL01;CRC062LMX004004TUMRL01;CRC0062LMXF04004TUMRL01;EXPLdtl00147;22;0;0;0;0;0;0;0;0;0;M019 BEZ-VEH (F)RL01;Tumor;RL;RL01;X;EXPLdtl00147;4;0;y;Store002;12;4;13;Boxdtl0133;Store00212413;13Boxdtl0133
TiAliquot0000060;Series-0002;M019 BEZ-VEH (F)RL02;CRC062LMX004004;CRC062LMX004004RL02;CRC062LMX004004TUMRL02;CRC0062LMXF04004TUMRL02;EXPLdtl00147;22;0;0;0;0;0;0;0;0;0;M019 BEZ-VEH (F)RL02;Tumor;RL;RL02;X;EXPLdtl00147;4;0;y;Store002;12;4;14;Boxdtl0133;Store00212414;14Boxdtl0133
