Father Container;Type;Barcode;Position;Geometry
Y001;Box 81;GenomicP2_11;B1;9x9
Y001;Box 81;Rna1;C1;9x9
Y001;Box 81;Rna2;A2;9x9
Y001;Box 81;Genomic3;B2;9x9
Y001;Box 81;Rna4;C2;9x9
Y001;Box 81;Rna5;A3;9x9
Y001;Box 81;Rna6;B3;9x9
Y001;Box 81;Rna7;C3;9x9
Y002;Box 81;GenomicDnaP1_1;A1;9x9
Y002;Box 81;GenomicDnaP1_2;B1;9x9
Y002;Box 81;GenomicDnaP1_3;C1;9x9
Y002;Box 81;GenomicDnaP1_4;A2;9x9
Y002;Box 81;GenomicDnaP1_5;B2;9x9
Y002;Box 81;GenomicDnaP1_6;C2;9x9
Y002;Box 81;GenomicDnaP2_7;A3;9x9
Y002;Box 81;GenomicDnaP2_8;B3;9x9
Y002;Box 81;GenomicDnaP2_9;C3;9x9
Y003;Box 81;GenomicDnaP0_1;A1;9x9
Y003;Box 81;GenomicDnaP0_2;B1;9x9
Y003;Box 81;GenomicDnaP0_3;C1;9x9
Y003;Box 81;GenomicDnaP0_4;A2;9x9
Y003;Box 81;GenomicDnaP0_5;B2;9x9
Y003;Box 81;GenomicDnaP0_6;C2;9x9
Y003;Box 81;GenomicDnaP0_7;A3;9x9
Y003;Box 81;GenomicDnaP0_8;B3;9x9
Y003;Box 81;GenomicDnaP0_9;C3;9x9
Y004;Box 81;SnapFrozenTreatments1;A1;9x9
Y004;Box 81;SnapFrozenTreatments2;B1;9x9
Y004;Box 81;SnapFrozenTreatments3;C1;9x9
Y004;Box 81;SnapFrozenTreatments4;A2;9x9
Y004;Box 81;SnapFrozenTreatments5;B2;9x9
Y005;Box 81;RnaLaterP3_4;A1;9x9
Y005;Box 81;RnaLaterP3_5;B1;9x9
Y005;Box 81;RnaLaterP3_6;C1;9x9
Y005;Box 81;RnaLaterP4_1;A2;9x9
Y005;Box 81;SnapFrozenP4_2;B2;9x9
Y005;Box 81;SnapFrozenP4_3;C2;9x9
Y005;Box 81;RnaLaterBRC_4;A3;9x9
Y005;Box 81;SnapFrozenBRC_5;B3;9x9
Y005;Box 81;RnaLaterP5_6;C3;9x9
Y006;Box 81;RnaLaterTreatments1;A1;9x9
Y006;Box 81;RnaLaterTreatments2;B1;9x9
Y006;Box 81;RnaLaterTreatments3;C1;9x9
Y006;Box 81;RnaLaterTreatments4;A2;9x9
Y006;Box 81;RnaLaterTreatments5;B2;9x9
Y006;Box 81;RnaLaterTreatments6;C2;9x9
Y006;Box 81;RnaLaterP3_1;A3;9x9
Y006;Box 81;RnaLaterP3_2;B3;9x9
Y006;Box 81;RnaLaterP3_3;C3;9x9
