sample	to_germline	to_tumor	to_case	to_all
1-CRC0508LMH0000000000D01000-022-A1	{CRC0508NLH0000000000D01000-022-B1:2 }	{CRC0508LMH0000000000D01000-022-A1:0 CRC0508LMX0A01001TUMD01000-022-G10:0 CRC0508LMX0A02002TUMD01000-033-D1:0 }	{CRC0508LMH0000000000D01000-022-A1:0 CRC0508LMX0A01001TUMD01000-022-G10:0 CRC0508LMX0A02002TUMD01000-033-D1:0 }	
2-CRC0513NLH0000000000D01000-022-A2	{CRC0513NLH0000000000D01000-022-A2:0 }	{CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMH0000000000D01000-022-H1:0 CRC0513LMX0A01001TUMD01000-022-H9:0 }	{CRC0513NLH0000000000D01000-022-A2:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A01001TUMD01000-022-H9:0 CRC0513LMH0000000000D01000-022-H1:0 }	
3-CRC0477LMX0A01001TUMD01000-022-A3	{CRC0257NLH0000000000D01000-021-E11:0 CRC0477NLH0000000000D01000-020-H7:0 CRC0257NLH0000000000D01000-05-G10:0 CRC0477NLH0000000000D01000-019-H3:0 }	{CRC0477LMX0A02001TUMD01000-033-F3:0 CRC0257LMX0A03005TUMD01000-015-C1:0 CRC0477LMX0A01001TUMD05000-020-H8:0 CRC0257LMX0A03003TUMD01000-015-F1:0 CRC0257LMH0000000000D01000-05-H3:0 CRC0477LMX0A07032TUMD01000-035-C3:0 CRC0477LMX0A04004TUMD01000-033-A5:0 CRC0477LMH0000000000D01000-019-G3:0 CRC0477LMX0A05035TUMD01000-033-A12:0 CRC0257LMX0A03002TUMD01000-015-D1:0 CRC0477LMX0A01001TUMD01000-022-A3:0 CRC0477LMX0A05038TUMD01000-034-F1:0 CRC0257LMX0A01001TUMD01000-012-B4:0 CRC0477LMX0A05039TUMD01000-033-B12:0 CRC0477LMX0A07010TUMD01000-035-B3:0 CRC0477LMX0A04006TUMD01000-033-H4:0 CRC0257LMX0A02004TUMD01000-013-E2:0 }	{CRC0477LMX0A02001TUMD01000-033-F3:0 CRC0477NLH0000000000D01000-020-H7:0 CRC0477LMX0A01001TUMD05000-020-H8:0 CRC0477LMX0A04004TUMD01000-033-A5:0 CRC0477LMH0000000000D01000-019-G3:0 CRC0477LMX0A05035TUMD01000-033-A12:0 CRC0477LMX0A07010TUMD01000-035-B3:0 CRC0477LMX0A01001TUMD01000-022-A3:0 CRC0477LMX0A04006TUMD01000-033-H4:0 CRC0477LMX0A07032TUMD01000-035-C3:0 CRC0477LMX0A05039TUMD01000-033-B12:0 CRC0477LMX0A05038TUMD01000-034-F1:0 CRC0477NLH0000000000D01000-019-H3:0 }	
4-CRC0514NMH0000000000D01000-022-A4	{CRC0514NMH0000000000D01000-022-A4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 CRC0514NMH0000000000D01000-022-A4:0 }	
5-CRC0518NLH0000000000D01000-022-A5	{CRC0518NLH0000000000D01000-022-A5:0 }	{CRC0518LMH0000000000D01000-022-H4:1 CRC0709PRH0000000000D01000-036-A10:1 }	{CRC0518NLH0000000000D01000-022-A5:0 }	
6-CRC0481PRX0A01001TUMD01000-022-A6	{CRC0481NLH0000000000D01000-019-A5:2 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	
7-CRC0468LMX0B01001TUMD01000-022-A7	{CRC0468NLH0000000000D01000-018-F12:1 CRC0468NMH0000000000D01000-018-E4:1 }	{CRC0468LMX0B03004TUMD01000-030-A8:0 CRC0468LMX0B01001TUMD01000-022-A7:0 CRC0468LMX0B03012TUMD01000-032-B11:0 CRC0468LMX0A02001TUMD01000-036-H6:0 CRC0468LMX0A01001TUMD01000-024-H7:0 CRC0468LMX0B02004TUMD01000-033-E10:0 CRC0468PRH0000000000D01000-018-G12:0 }	{CRC0468LMX0B03004TUMD01000-030-A8:0 CRC0468LMX0B01001TUMD01000-022-A7:0 CRC0468LMX0B03012TUMD01000-032-B11:0 CRC0468LMX0A02001TUMD01000-036-H6:0 CRC0468LMX0A01001TUMD01000-024-H7:0 CRC0468LMX0B02004TUMD01000-033-E10:0 CRC0468PRH0000000000D01000-018-G12:0 }	
8-CRC0502LMX0A01001TUMD01000-022-A8	{CRC0021NLH0000000000D01000-03-A5:2 CRC0502NLH0000000000D01000-024-G4:2 }	{CRC0502LMX0A01001TUMD01000-022-A8:0 CRC0502LMX0B01001TUMD01000-026-F10:0 CRC0502LMX0A02004TUMD01000-032-C5:0 CRC0502LMH0000000000D01000-024-F4:0 CRC0502LMX0B02004TUMD01000-032-D5:0 }	{CRC0502LMX0A01001TUMD01000-022-A8:0 CRC0502LMX0B01001TUMD01000-026-F10:0 CRC0502LMX0A02004TUMD01000-032-C5:0 CRC0502LMH0000000000D01000-024-F4:0 CRC0502LMX0B02004TUMD01000-032-D5:0 }	
9-CRC0525NLH0000000000D01000-022-A9	{CRC0525NLH0000000000D01000-022-A9:0 CRC0539NLH0000000000D01000-023-C5:0 }	{CRC0525LMH0000000000D01000-022-H8:0 }	{CRC0525NLH0000000000D01000-022-A9:0 CRC0525LMH0000000000D01000-022-H8:0 }	
10-CRC0513LMX0B01001TUMD01000-022-A10	{CRC0513NLH0000000000D01000-022-A2:0 }	{CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMH0000000000D01000-022-H1:0 CRC0513LMX0A01001TUMD01000-022-H9:0 }	{CRC0513NLH0000000000D01000-022-A2:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A01001TUMD01000-022-H9:0 CRC0513LMH0000000000D01000-022-H1:0 }	
11-CRC0517LMX0A01001TUMD01000-022-A11	{CRC0253NLH0000000000D01000-05-D2:2 CRC0229NLH0000000000D01000-04-B8:2 }	{CRC0517LMX0B02001TUMD01000-029-A8:0 CRC0517LMX0A02003TUMD01000-029-H7:0 CRC0517LMX0A01001TUMD01000-022-A11:0 CRC0517LMH0000000000D01000-022-G4:0 CRC0517LMX0B01001TUMD01000-023-B2:0 }	{CRC0517LMX0A02003TUMD01000-029-H7:0 CRC0517LMX0A01001TUMD01000-022-A11:0 CRC0517LMH0000000000D01000-022-G4:0 CRC0517LMX0B01001TUMD01000-023-B2:0 CRC0517LMX0B02001TUMD01000-029-A8:0 }	
12-CRC0493LMX0A01001TUMD01000-022-A12	{CRC0493NLH0000000000D01000-025-C6:4 }	{CRC0493LMX0A01001TUMD01000-022-A12:0 }	{CRC0493LMX0A01001TUMD01000-022-A12:0 }	
13-CRC0508NLH0000000000D01000-022-B1	{CRC0508NLH0000000000D01000-022-B1:0 }	{CRC0508LMH0000000000D01000-022-A1:2 CRC0508LMX0A01001TUMD01000-022-G10:2 CRC0508LMX0A02002TUMD01000-033-D1:2 }	{CRC0508NLH0000000000D01000-022-B1:0 }	
14-HNC0005PRX0B01001TUMD01000-022-B2	{CRC0142NLH0000000000D01000-05-H6:5 }	{HNC0005PRX0B01001TUMD01000-022-B2:0 }	{HNC0005PRX0B01001TUMD01000-022-B2:0 }	
15-CRC0479LMX0A01001TUMD01000-022-B3	{CRC0479NLH0000000000D01000-019-E4:0 }	{CRC0479LMX0A03003TUMD01000-030-H7:0 CRC0479LMX0A02004TUMD01000-033-G3:0 CRC0479LMX0A01001TUMD01000-022-B3:0 }	{CRC0479LMX0A03003TUMD01000-030-H7:0 CRC0479NLH0000000000D01000-019-E4:0 CRC0479LMX0A02004TUMD01000-033-G3:0 CRC0479LMX0A01001TUMD01000-022-B3:0 }	
16-CRC0514PRH0000000000D01000-022-B4	{CRC0514NMH0000000000D01000-022-A4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 CRC0514NMH0000000000D01000-022-A4:0 }	
17-CRC0519LMH0000000000D01000-022-B5	{CRC0519NLH0000000000D01000-022-C5:0 }	{CRC0519LMH0000000000D01000-022-B5:0 }	{CRC0519LMH0000000000D01000-022-B5:0 CRC0519NLH0000000000D01000-022-C5:0 }	
18-CRC0454LMX0A01001TUMD01000-022-B6	{CRC0454NLH0000000000D01000-018-H4:0 }	{CRC0454LMX0B01001TUMD01000-024-D7:0 CRC0454LMX0A01001TUMD01000-022-B6:0 CRC0454LMH0000000000D01000-018-G4:0 CRC0454LMX0A02003TUMD01000-033-H7:0 CRC0454LMX0B02003TUMD01000-036-B6:0 }	{CRC0454NLH0000000000D01000-018-H4:0 CRC0454LMX0B01001TUMD01000-024-D7:0 CRC0454LMX0B02003TUMD01000-036-B6:0 CRC0454LMX0A01001TUMD01000-022-B6:0 CRC0454LMH0000000000D01000-018-G4:0 CRC0454LMX0A02003TUMD01000-033-H7:0 }	
19-CRC0422LMX0B01001TUMD01000-022-B7	{CRC0422NLH0000000000D01000-015-B7:2 }	{CRC0422LMX0B02001TUMD01000-029-A1:0 CRC0422LMX0B01001TUMD01000-022-B7:0 }	{CRC0422LMX0B02001TUMD01000-029-A1:0 CRC0422LMX0B01001TUMD01000-022-B7:0 }	
20-CRC0507LMX0A01001TUMD01000-022-B8	{CRC0408NMH0000000000D01000-016-F3:3 CRC0115NLH0000000000D01000-020-D9:3 CRC0115NLH0000000000D01000-03-A10:3 }	{CRC0507LMX0A02001TUMD01000-032-E10:0 CRC0507LMX0A01001TUMD01000-022-B8:0 }	{CRC0507LMX0A02001TUMD01000-032-E10:0 CRC0507LMX0A01001TUMD01000-022-B8:0 }	
21-CRC0526NLH0000000000D01000-022-B9	{CRC0526NLH0000000000D01000-022-B9:0 }	{CRC0526LMX0B02004TUMD01000-029-E8:0 CRC0526LMX0B01001TUMD01000-023-F1:0 CRC0526LMX0A01001TUMD01000-022-D11:0 }	{CRC0526LMX0B02004TUMD01000-029-E8:0 CRC0526LMX0B01001TUMD01000-023-F1:0 CRC0526NLH0000000000D01000-022-B9:0 CRC0526LMX0A01001TUMD01000-022-D11:0 }	
22-CRC0465LMX0A01001TUMD01000-022-B10	{CRC0529NLH0000000000D01000-023-G2:2 }	{CRC0465LMX0A02003TUMD01000-033-B10:0 CRC0465LMH0000000000D01000-018-H11:0 CRC0465LMX0A04001TUMD01000-033-C10:0 CRC0465LMX0A01001TUMD01000-022-B10:0 }	{CRC0465LMH0000000000D01000-018-H11:0 CRC0465LMX0A02003TUMD01000-033-B10:0 CRC0465LMX0A04001TUMD01000-033-C10:0 CRC0465LMX0A01001TUMD01000-022-B10:0 }	
23-CRC0518LMX0A01001TUMD01000-022-B11	{CRC0518NLH0000000000D01000-022-A5:3 }	{CRC0518LMX0B02002TUMD01000-029-C8:0 CRC0518LMX0A02001TUMD01000-029-B8:0 CRC0518LMX0A01001TUMD01000-022-B11:0 }	{CRC0518LMX0B02002TUMD01000-029-C8:0 CRC0518LMX0A02001TUMD01000-029-B8:0 CRC0518LMX0A01001TUMD01000-022-B11:0 }	
24-CRC0431LMX0A03006TUMD01000-022-B12	{CRC0431NLH0000000000D01000-018-B1:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431NLH0000000000D01000-018-B1:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	
25-CHC0005NLH0000000000D01000-022-C1	{CHC0005NLH0000000000D01000-022-C1:0 }	{CRC0398PRH0000000000D01000-014-D9:1 }	{CHC0005NLH0000000000D01000-022-C1:0 }	
26-CRC0460PRX0B01001TUMD01000-022-C2	{CRC0460NMH0000000000D01000-018-D8:0 }	{CRC0460PRH0000000000D01000-018-E8:0 CRC0460PRX0B01001TUMD01000-022-C2:0 }	{CRC0460PRH0000000000D01000-018-E8:0 CRC0460PRX0B01001TUMD01000-022-C2:0 CRC0460NMH0000000000D01000-018-D8:0 }	
27-CRC0481LMX0A01001TUMD01000-022-C3	{CRC0481NLH0000000000D01000-019-A5:2 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	
28-CRC0515LMH0000000000D01000-022-C4	{CRC0515NLH0000000000D01000-022-D4:2 }	{CRC0515LMH0000000000D01000-022-C4:0 }	{CRC0515LMH0000000000D01000-022-C4:0 }	
29-CRC0519NLH0000000000D01000-022-C5	{CRC0519NLH0000000000D01000-022-C5:0 }	{CRC0519LMH0000000000D01000-022-B5:0 }	{CRC0519LMH0000000000D01000-022-B5:0 CRC0519NLH0000000000D01000-022-C5:0 }	
30-CRC0484LMX0B01001TUMD01000-022-C6	{CRC0484NLH0000000000D01000-019-G5:1 }	{CRC0484LMH0000000000D01000-019-F5:0 CRC0484LMX0B02003TUMD01000-033-D4:0 CRC0484LMX0A02002TUMD01000-033-C4:0 CRC0484LMX0A01001TUMD01000-026-E10:0 CRC0484LMX0B01001TUMD01000-022-C6:0 }	{CRC0484LMH0000000000D01000-019-F5:0 CRC0484LMX0B02003TUMD01000-033-D4:0 CRC0484LMX0B01001TUMD01000-022-C6:0 CRC0484LMX0A01001TUMD01000-026-E10:0 CRC0484LMX0A02002TUMD01000-033-C4:0 }	
31-CRC0428PRX0A01001TUMD01000-022-C7	{CRC0469NMH0000000000D01000-019-C1:4 CRC0394NLH0000000000D01000-014-G9:4 }	{CRC0428PRX0A01001TUMD01000-022-C7:0 }	{CRC0428PRX0A01001TUMD01000-022-C7:0 }	
32-CRC0451LMX0A01001TUMD01000-022-C8	{CRC0451NLH0000000000D01000-018-C4:2 }	{CRC0451LMX0A01001TUMD01000-022-C8:0 CRC0451LMX0A02004TUMD01000-033-C8:0 }	{CRC0451LMX0A01001TUMD01000-022-C8:0 CRC0451LMX0A02004TUMD01000-033-C8:0 }	
33-CRC0527LMH0000000000D01000-022-C9	{CRC0527NLH0000000000D01000-022-D9:0 }	{CRC0527LMH0000000000D01000-022-C9:0 CRC0527LMX0B02004TUMD01000-029-A9:0 CRC0527LMX0B01001TUMD01000-023-G1:0 CRC0527LMX0A02002TUMD01000-029-G8:0 CRC0527LMX0B03007TUMD01000-029-B9:0 CRC0527LMX0A01001TUMD01000-023-H1:0 CRC0527LMX0A03006TUMD01000-029-H8:0 }	{CRC0527LMH0000000000D01000-022-C9:0 CRC0527LMX0B02004TUMD01000-029-A9:0 CRC0527LMX0B01001TUMD01000-023-G1:0 CRC0527LMX0A02002TUMD01000-029-G8:0 CRC0527NLH0000000000D01000-022-D9:0 CRC0527LMX0B03007TUMD01000-029-B9:0 CRC0527LMX0A01001TUMD01000-023-H1:0 CRC0527LMX0A03006TUMD01000-029-H8:0 }	
34-CRC0157LMX0A01201TUMD01000-022-C10	{CRC0156NLH0000000000D01000-04-F2:0 }	{CRC0157LMX0A01201TUMD05000-021-C2:0 CRC0157LMX0A01201TUMD01000-022-C10:0 CRC0068LMX0A03203TUMD01000-030-H6:0 CRC0157LMX0A02004TUMD01000-011-B2:0 CRC0157LMX0A03007TUMD01000-013-F11:0 CRC0157LMX0A03009TUMD01000-013-F12:0 }	{CRC0157LMX0A01201TUMD05000-021-C2:0 CRC0157LMX0A01201TUMD01000-022-C10:0 CRC0157LMX0A03007TUMD01000-013-F11:0 CRC0157LMX0A03009TUMD01000-013-F12:0 CRC0157LMX0A02004TUMD01000-011-B2:0 }	
35-CRC0518LMX0B01001TUMD01000-022-C11	{CRC0518NLH0000000000D01000-022-A5:4 }	{CRC0518LMX0B01001TUMD01000-022-C11:0 }	{CRC0518LMX0B01001TUMD01000-022-C11:0 }	
36-CRC0431LMX0A03010TUMD01000-022-C12	{CRC0431NLH0000000000D01000-018-B1:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431NLH0000000000D01000-018-B1:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	
37-CRC0510LMH0000000000D01000-022-D1	{CRC0510NLH0000000000D01000-022-H3:2 }	{CRC0510LMH0000000000D01000-022-D1:0 }	{CRC0510LMH0000000000D01000-022-D1:0 }	
38-CRC0463PRX0A01001TUMD01000-022-D2	{CRC0463NMH0000000000D01000-018-E11:0 }	{CRC0463PRX0A01001TUMD01000-022-D2:0 }	{CRC0463NMH0000000000D01000-018-E11:0 CRC0463PRX0A01001TUMD01000-022-D2:0 }	
39-CRC0480LMX0A01001TUMD01000-022-D3	{CRC0081NLH0000000000D01000-03-G6:3 CRC0081NLH0000000000D01000-020-B11:3 }	{CRC0480LMX0A03004TUMD01000-032-C11:0 CRC0480LMX0B02003TUMD01000-032-D9:0 CRC0480LMX0A03007TUMD01000-032-D11:0 CRC0480LMX0A01001TUMD05000-020-H10:0 CRC0480LMX0A01001TUMD01000-022-D3:0 }	{CRC0480LMX0A03004TUMD01000-032-C11:0 CRC0480LMX0B02003TUMD01000-032-D9:0 CRC0480LMX0A03007TUMD01000-032-D11:0 CRC0480LMX0A01001TUMD05000-020-H10:0 CRC0480LMX0A01001TUMD01000-022-D3:0 }	
40-CRC0515NLH0000000000D01000-022-D4	{CRC0515NLH0000000000D01000-022-D4:0 }	{CRC0515LMX0A02003TUMD01000-033-B2:1 CRC0515LMX0A01001TUMD01000-023-A2:1 CRC0515LMX0B02002TUMD01000-033-H5:1 CRC0515LMX0B01001TUMD01000-035-D8:1 }	{CRC0515NLH0000000000D01000-022-D4:0 }	
41-CRC0521NLH0000000000D01000-022-D5	{CRC0521NLH0000000000D01000-022-D5:0 }	{CRC0521LMX0A01001TUMD01000-028-C9:2 CRC0521LMX0A02004TUMD01000-034-C12:2 }	{CRC0521NLH0000000000D01000-022-D5:0 }	
42-CRC0471LMX0B01001TUMD01000-022-D6	{CRC0471NLH0000000000D01000-019-D2:2 CRC0157NLH0000000000D01000-021-C1:2 }	{CRC0471LMX0A04005TUMD01000-033-H10:0 CRC0471LMX0A02001TUMD01000-033-F10:0 CRC0471LMX0B01001TUMD01000-022-D6:0 CRC0471LMX0A04012TUMD01000-033-G10:0 CRC0471LMX0A03001TUMD01000-030-H10:0 CRC0471LMX0B02004TUMD01000-033-B11:0 CRC0471LMX0A01001TUMD01000-022-G2:0 }	{CRC0471LMX0A04005TUMD01000-033-H10:0 CRC0471LMX0A02001TUMD01000-033-F10:0 CRC0471LMX0A01001TUMD01000-022-G2:0 CRC0471LMX0A04012TUMD01000-033-G10:0 CRC0471LMX0A03001TUMD01000-030-H10:0 CRC0471LMX0B02004TUMD01000-033-B11:0 CRC0471LMX0B01001TUMD01000-022-D6:0 }	
43-CRC0440PRX0B01001TUMD01000-022-D7	{CRC0440NMH0000000000D01000-018-D3:1 }	{CRC0440PRH0000000000D01000-018-C3:0 CRC0440LMX0B03012TUMD01000-030-B1:0 CRC0440LMX0B01001TUMD01000-018-H10:0 CRC0440LMX0A04002TUMD01000-030-D12:0 CRC0440PRX0B01001TUMD01000-022-D7:0 CRC0440LMX0A03007TUMD01000-026-G12:0 CRC0440LMX0A03003TUMD01000-032-A3:0 CRC0440LMX0A05013TUMD01000-030-E12:0 CRC0440LMX0A03012TUMD01000-030-A1:0 CRC0440LMX0B02003TUMD01000-024-C3:0 CRC0440LMX0A02001TUMD01000-027-H11:0 CRC0440LMX0A05031TUMD01000-030-C12:0 CRC0440LMX0A01001TUMD01000-019-H1:0 CRC0440LMX0A05035TUMD01000-036-F3:0 }	{CRC0440PRH0000000000D01000-018-C3:0 CRC0440LMX0B03012TUMD01000-030-B1:0 CRC0440LMX0B01001TUMD01000-018-H10:0 CRC0440LMX0A04002TUMD01000-030-D12:0 CRC0440PRX0B01001TUMD01000-022-D7:0 CRC0440LMX0A01001TUMD01000-019-H1:0 CRC0440LMX0A03007TUMD01000-026-G12:0 CRC0440LMX0A05013TUMD01000-030-E12:0 CRC0440LMX0A03012TUMD01000-030-A1:0 CRC0440LMX0A03003TUMD01000-032-A3:0 CRC0440LMX0B02003TUMD01000-024-C3:0 CRC0440LMX0A05031TUMD01000-030-C12:0 CRC0440LMX0A02001TUMD01000-027-H11:0 CRC0440LMX0A05035TUMD01000-036-F3:0 }	
44-CRC0461LMX0B01001TUMD01000-022-D8	{CRC0461NLH0000000000D01000-018-E9:0 }	{CRC0461LMX0B02001TUMD01000-033-A10:0 CRC0461LMX0B01001TUMD01000-022-D8:0 CRC0461LMH0000000000D01000-018-D9:0 }	{CRC0461LMX0B02001TUMD01000-033-A10:0 CRC0461NLH0000000000D01000-018-E9:0 CRC0461LMX0B01001TUMD01000-022-D8:0 CRC0461LMH0000000000D01000-018-D9:0 }	
45-CRC0527NLH0000000000D01000-022-D9	{CRC0527NLH0000000000D01000-022-D9:0 }	{CRC0527LMH0000000000D01000-022-C9:0 CRC0527LMX0B02004TUMD01000-029-A9:0 CRC0527LMX0B01001TUMD01000-023-G1:0 CRC0527LMX0A02002TUMD01000-029-G8:0 CRC0527LMX0B03007TUMD01000-029-B9:0 CRC0527LMX0A01001TUMD01000-023-H1:0 CRC0527LMX0A03006TUMD01000-029-H8:0 }	{CRC0527LMH0000000000D01000-022-C9:0 CRC0527LMX0B02004TUMD01000-029-A9:0 CRC0527LMX0B01001TUMD01000-023-G1:0 CRC0527LMX0A02002TUMD01000-029-G8:0 CRC0527NLH0000000000D01000-022-D9:0 CRC0527LMX0B03007TUMD01000-029-B9:0 CRC0527LMX0A01001TUMD01000-023-H1:0 CRC0527LMX0A03006TUMD01000-029-H8:0 }	
46-CRC0452LMX0A01001TUMD01000-022-D10	{CRC0452NLH0000000000D01000-018-D4:0 }	{CRC0452LMX0A01001TUMD01000-022-D10:0 }	{CRC0452NLH0000000000D01000-018-D4:0 CRC0452LMX0A01001TUMD01000-022-D10:0 }	
47-CRC0526LMX0A01001TUMD01000-022-D11	{CRC0526NLH0000000000D01000-022-B9:0 }	{CRC0526LMX0B02004TUMD01000-029-E8:0 CRC0526LMX0B01001TUMD01000-023-F1:0 CRC0526LMX0A01001TUMD01000-022-D11:0 }	{CRC0526LMX0B02004TUMD01000-029-E8:0 CRC0526LMX0B01001TUMD01000-023-F1:0 CRC0526NLH0000000000D01000-022-B9:0 CRC0526LMX0A01001TUMD01000-022-D11:0 }	
48-CRC0431LMX0A03002TUMD01000-022-D12	{CRC0431NLH0000000000D01000-018-B1:1 }	{CRC0431LMX0A03002TUMD01000-022-D12:0 CRC0431LMX0A04010TUMD01000-022-E12:0 }	{CRC0431LMX0A03002TUMD01000-022-D12:0 CRC0431LMX0A04010TUMD01000-022-E12:0 }	
49-HCC0033NLH0000000000D01000-022-E1	{HCC0033NLH0000000000D01000-022-E1:0 }	{CRC0622PRX0A01001TUMD01000-035-F4:3 CRC0622PRX0B01001TUMD01000-034-A11:3 CRC0622PRH0000000000D01000-028-H6:3 CRC0030LMH0000000000D01000-01-D5:3 CRC0333LMH0000000000D01000-05-E6:3 }	{HCC0033NLH0000000000D01000-022-E1:0 }	
50-CRC0468PRX0B01001TUMD01000-022-E2	{CRC0468NLH0000000000D01000-018-F12:0 CRC0468NMH0000000000D01000-018-E4:0 }	{CRC0468PRX0B01001TUMD01000-022-E2:0 CRC0468LMH0000000000D01000-018-E12:0 }	{CRC0468NLH0000000000D01000-018-F12:0 CRC0468PRX0B01001TUMD01000-022-E2:0 CRC0468LMH0000000000D01000-018-E12:0 CRC0468NMH0000000000D01000-018-E4:0 }	
51-CRC0445PRX0A01001TUMD01000-022-E3	{CRC0445NMH0000000000D01000-018-H3:0 }	{CRC0445PRX0A01001TUMD01000-022-E3:0 CRC0445PRH0000000000D01000-018-G3:0 }	{CRC0445NMH0000000000D01000-018-H3:0 CRC0445PRX0A01001TUMD01000-022-E3:0 CRC0445PRH0000000000D01000-018-G3:0 }	
52-CRC0516LMH0000000000D01000-022-E4	{CRC0516NLH0000000000D01000-022-F4:0 }	{CRC0516LMH0000000000D01000-022-E4:0 CRC0516LMX0B01001TUMD01000-023-D11:0 }	{CRC0516NLH0000000000D01000-022-F4:0 CRC0516LMH0000000000D01000-022-E4:0 CRC0516LMX0B01001TUMD01000-023-D11:0 }	
53-CRC0522NMH0000000000D01000-022-E5	{CRC0522NMH0000000000D01000-022-E5:0 }	{CRC0371LMX0B03004TUMD01000-025-D1:3 CRC0371LMX0B01001TUMD01000-014-B12:3 CRC0371LMX0B03012TUMD01000-025-B1:3 CRC0387LMH0000000000D01000-013-F8:3 CRC0371LMX0B01201TUMD04000-021-H4:3 CRC0371LMX0B03002TUMD01000-025-C1:3 CRC0371LMX0B02002TUMD01000-025-A1:3 CRC0371LMH0000000000D01000-012-B6:3 }	{CRC0522NMH0000000000D01000-022-E5:0 }	
54-CRC0481PRX0B01001TUMD01000-022-E6	{CRC0481NLH0000000000D01000-019-A5:3 }	{CRC0481PRX0B01001TUMD01000-022-E6:0 }	{CRC0481PRX0B01001TUMD01000-022-E6:0 }	
