sample	to_germline	to_tumor	to_case	to_all
853-CRC0102LMX0B03012TUMD01000-030-H9	{CRC0014NLH0000000000D01000-020-A1:2 CRC0014NLH0000000000D01000-03-E1:2 }	{CRC0069LMX0B02004TUMD01000-09-E4:0 CRC0102LMX0B01001TUMD01000-06-B9:0 CRC0102LMX0B03011TUMD01000-030-G9:0 CRC0069LMX0A01001TUMD01000-07-C3:0 CRC0102LMX0B01201TUMD01000-021-B2:0 CRC0102LMX0B03012TUMD01000-030-H9:0 CRC0069LMX0B01001TUMD01000-08-C3:0 CRC0102LMX0B02004TUMD01000-09-G5:0 CRC0069LMH0000000000D01000-01-D4:0 CRC0069LMX0A02004TUMD01000-09-D4:0 }	{CRC0102LMX0B03011TUMD01000-030-G9:0 CRC0102LMX0B02004TUMD01000-09-G5:0 CRC0102LMX0B01201TUMD01000-021-B2:0 CRC0102LMX0B01001TUMD01000-06-B9:0 CRC0102LMX0B03012TUMD01000-030-H9:0 }	
854-CRC0471LMX0A03001TUMD01000-030-H10	{CRC0471NLH0000000000D01000-019-D2:2 CRC0157NLH0000000000D01000-021-C1:2 }	{CRC0471LMX0A04005TUMD01000-033-H10:0 CRC0471LMX0A02001TUMD01000-033-F10:0 CRC0471LMX0B01001TUMD01000-022-D6:0 CRC0471LMX0A04012TUMD01000-033-G10:0 CRC0471LMX0A03001TUMD01000-030-H10:0 CRC0471LMX0B02004TUMD01000-033-B11:0 CRC0471LMX0A01001TUMD01000-022-G2:0 }	{CRC0471LMX0A04005TUMD01000-033-H10:0 CRC0471LMX0A02001TUMD01000-033-F10:0 CRC0471LMX0A01001TUMD01000-022-G2:0 CRC0471LMX0A04012TUMD01000-033-G10:0 CRC0471LMX0A03001TUMD01000-030-H10:0 CRC0471LMX0B02004TUMD01000-033-B11:0 CRC0471LMX0B01001TUMD01000-022-D6:0 }	
855-CRC0431LMX0A05007TUMD01000-030-H11	{CRC0431NLH0000000000D01000-018-B1:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	{CRC0431LMX0A03010TUMD01000-022-C12:0 CRC0431LMX0B01001TUMD01000-018-H9:0 CRC0431LMX0B03010TUMD01000-022-F12:0 CRC0431LMH0000000000D01000-018-A1:0 CRC0431LMX0A05023TUMD01000-030-G11:0 CRC0431LMX0A02001TUMD01000-019-F9:0 CRC0431LMX0B05001TUMD01000-030-B12:0 CRC0431LMX0B02004TUMD01000-024-B8:0 CRC0431LMX0B03005TUMD01000-022-G12:0 CRC0431NLH0000000000D01000-018-B1:0 CRC0431LMX0A05007TUMD01000-030-H11:0 CRC0431LMX0A03006TUMD01000-022-B12:0 CRC0431LMX0B04012TUMD01000-030-A12:0 CRC0431LMX0A01001TUMD01000-018-G8:0 CRC0431LMX0A05028TUMD01000-030-F11:0 }	
856-CRC0560LMH0000000000D01000-031-A1	{CRC0560NLH0000000000D01000-031-B1:2 }	{CRC0560LMH0000000000D01000-031-A1:0 CRC0560LMX0A02004TUMD01000-033-F11:0 CRC0560LMX0A01001TUMD01000-028-E9:0 }	{CRC0560LMH0000000000D01000-031-A1:0 CRC0560LMX0A02004TUMD01000-033-F11:0 CRC0560LMX0A01001TUMD01000-028-E9:0 }	
857-CRC0529LMX0B01001TUMD01000-031-A2	{CRC0529NLH0000000000D01000-023-G2:1 CRC0568NLH0000000000D01000-031-G3:1 CRC0540NLH0000000000D01000-023-E5:1 }	{CRC0529LMX0B02001TUMD01000-034-G5:0 CRC0529LMX0B01001TUMD01000-031-A2:0 CRC0529LMH0000000000D01000-023-F2:0 CRC0529LMX0A02003TUMD01000-034-B1:0 CRC0529LMX0A01001TUMD01000-031-B2:0 }	{CRC0529LMH0000000000D01000-023-F2:0 CRC0529LMX0A02003TUMD01000-034-B1:0 CRC0529LMX0A01001TUMD01000-031-B2:0 CRC0529LMX0B02001TUMD01000-034-G5:0 CRC0529LMX0B01001TUMD01000-031-A2:0 }	
858-CRC0565NLH0000000000D01000-031-A3	{CRC0565NLH0000000000D01000-031-A3:0 }	{CRC0565LMH0000000000D01000-031-H2:0 }	{CRC0565NLH0000000000D01000-031-A3:0 CRC0565LMH0000000000D01000-031-H2:0 }	
859-CRC0569NLH0000000000D01000-031-A4	{CRC0569NLH0000000000D01000-031-A4:0 }	{CRC0569LMH0000000000D01000-031-H3:0 }	{CRC0569NLH0000000000D01000-031-A4:0 CRC0569LMH0000000000D01000-031-H3:0 }	
860-CRC0538LMX0A01001TUMD01000-031-A5	{CRC0573NMH0000000000D05000-031-H4:0 }	{CRC0538LMX0A01001TUMD01000-031-A5:0 }	{CRC0538LMX0A01001TUMD01000-031-A5:0 }	
861-CRC0576NLH0000000000D01000-031-A6	{CRC0576NLH0000000000D01000-031-A6:0 }	{CRC0576LMX0A02002TUMD01000-034-D3:1 CRC0576LMX0B01001TUMD01000-028-G9:1 CRC0576LMX0A01001TUMD01000-034-F7:1 CRC0576LMX0B02003TUMD01000-034-E4:1 }	{CRC0576NLH0000000000D01000-031-A6:0 }	
862-CRC0021LMX0A01201TUMD03000-031-A7	{CRC0078NLH0000000000D01000-03-E6:3 CRC0078NLH0000000000D01000-020-B7:3 CRC0394NLH0000000000D01000-014-G9:3 }	{CRC0021LMX0A01201TUMD03000-031-A7:0 }	{CRC0021LMX0A01201TUMD03000-031-A7:0 }	
863-CRC0271PRH0000000000D03000-031-A8	{CRC0268NLH0000000000D01000-04-B10:0 }	{CRC0268LMX0A01001TUMD01000-06-B7:0 CRC0271PRH0000000000D03000-031-A8:0 }	{CRC0271PRH0000000000D03000-031-A8:0 }	
864-CRC0581NLH0000000000D01000-031-A9	{CRC0581NLH0000000000D01000-031-A9:0 }	{CRC0581LMX0A01001TUMD01000-035-H3:1 }	{CRC0581NLH0000000000D01000-031-A9:0 }	
865-CRC0585PRH0000000000D01000-031-A10	{CRC0081NLH0000000000D01000-03-G6:3 CRC0569NLH0000000000D01000-031-A4:3 CRC0457NLH0000000000D05000-020-H3:3 CRC0457NLH0000000000D01000-018-F7:3 CRC0081NLH0000000000D01000-020-B11:3 }	{CRC0585PRH0000000000D01000-031-A10:0 CRC0586LMH0000000000D01000-031-B10:0 }	{CRC0585PRH0000000000D01000-031-A10:0 }	
866-CRC0589NLH0000000000D01000-031-A11	{CRC0589NLH0000000000D01000-031-A11:0 CRC0328NLH0000000000D05000-032-B2:0 CRC0328NLH0000000000D04000-021-G7:0 CRC0590NMH0000000000D01000-031-B11:0 }	{CRC0328LMH0000000000D01000-035-G5:0 }	{CRC0589NLH0000000000D01000-031-A11:0 }	
867-CRC0593NLH0000000000D01000-031-A12	{CRC0593NLH0000000000D01000-031-A12:0 }	{CRC0594LMH0000000000D01000-031-B12:1 }	{CRC0593NLH0000000000D01000-031-A12:0 }	
868-CRC0560NLH0000000000D01000-031-B1	{CRC0560NLH0000000000D01000-031-B1:0 }	{CRC0560LMH0000000000D01000-031-A1:2 CRC0560LMX0A02004TUMD01000-033-F11:2 CRC0560LMX0A01001TUMD01000-028-E9:2 CRC0624LMX0B02004TUMD01000-035-A5:2 }	{CRC0560NLH0000000000D01000-031-B1:0 }	
869-CRC0529LMX0A01001TUMD01000-031-B2	{CRC0529NLH0000000000D01000-023-G2:1 CRC0568NLH0000000000D01000-031-G3:1 CRC0540NLH0000000000D01000-023-E5:1 }	{CRC0529LMX0B02001TUMD01000-034-G5:0 CRC0529LMX0B01001TUMD01000-031-A2:0 CRC0529LMH0000000000D01000-023-F2:0 CRC0529LMX0A02003TUMD01000-034-B1:0 CRC0529LMX0A01001TUMD01000-031-B2:0 }	{CRC0529LMH0000000000D01000-023-F2:0 CRC0529LMX0A02003TUMD01000-034-B1:0 CRC0529LMX0A01001TUMD01000-031-B2:0 CRC0529LMX0B02001TUMD01000-034-G5:0 CRC0529LMX0B01001TUMD01000-031-A2:0 }	
870-CRC0566NMH0000000000D01000-031-B3	{CRC0566NMH0000000000D01000-031-B3:0 }	{CRC0566PRH0000000000D01000-031-C3:0 }	{CRC0566PRH0000000000D01000-031-C3:0 CRC0566NMH0000000000D01000-031-B3:0 }	
871-CRC0570LMH0000000000D01000-031-B4	{CRC0571NMH0000000000D01000-031-C4:1 }	{CRC0570LMX0A01001TUMD01000-034-H9:0 CRC0570LMH0000000000D01000-031-B4:0 }	{CRC0570LMX0A01001TUMD01000-034-H9:0 CRC0570LMH0000000000D01000-031-B4:0 }	
872-CRC0536LMX0A01001TUMD01000-031-B5	{CRC0538NLH0000000000D01000-023-A5:0 CRC0403NLH0000000000D01000-014-A11:0 }	{CRC0536LMX0A01001TUMD01000-031-B5:0 CRC0340PRX0B01001TUMD01000-013-H10:0 CRC0538LMX0B01001TUMD01000-035-D7:0 CRC0538LMX0B02001TUMD01000-034-H2:0 CRC0340PRX0A01001TUMD01000-014-D12:0 CRC0538LMH0000000000D01000-023-H4:0 }	{CRC0536LMX0A01001TUMD01000-031-B5:0 }	
873-CRC0577NMH0000000000D01000-031-B6	{CRC0577NMH0000000000D01000-031-B6:0 }	{CRC0514PRX0B01001TUMD01000-035-H8:2 }	{CRC0577NMH0000000000D01000-031-B6:0 }	
874-CRC0489LMH0000000000D05000-031-B7	{CRC0106NLH0000000000D01000-03-C5:0 CRC0106NLH0000000000D01000-021-B5:0 }	{CRC0106LMX0B05009TUMD01000-027-A6:0 CRC0106LMX0B03004TUMD01000-016-C2:0 CRC0106LMX0B04001TUMD01000-027-D5:0 CRC0106LMX0B05022TUMD01000-027-G5:0 CRC0106LMX0B02004TUMD01000-010-A4:0 CRC0106LMX0B07001TUMD01000-029-B5:0 CRC0106LMX0B05027TUMD01000-027-B6:0 CRC0021LMX0A02004TUMD01000-09-F9:0 CRC0106LMX0B04012TUMD01000-027-E5:0 CRC0106LMH0000000000D01000-01-C5:0 CRC0106LMX0B05042TUMD01000-027-H5:0 CRC0106LMX0B01201TUMD01000-021-B6:0 CRC0106LMX0B01001TUMD01000-06-F8:0 CRC0021LMX0A01001TUMD01000-07-G3:0 CRC0580LMH0000000000D01000-031-F8:0 CRC0106LMX0B04008TUMD01000-027-F5:0 CRC0489LMH0000000000D05000-031-B7:0 CRC0106LMX0B06001TUMD01000-029-A5:0 }	{CRC0489LMH0000000000D05000-031-B7:0 }	
875-CRC0271NMH0000000000D03000-031-B8	{CRC0271NLH0000000000D01000-04-D10:0 CRC0271NMH0000000000D03000-031-B8:0 }	{CRC0268LMH0000000000D01000-02-B10:0 CRC0282PRH0000000000D03000-031-C8:0 }	{CRC0271NLH0000000000D01000-04-D10:0 CRC0271NMH0000000000D03000-031-B8:0 }	
